CURRENT DISTRIBUTION ALONG ONE HALF OF THE DIPOLE
POSITION Z:   MAGNITUDE:       REAL PART:       IMAGINARY PART:      SECTION #:
0.0791       0.001261            0.000531        -0.001144          347.0 

0.0781       0.001254            0.000532        -0.001135          348.0 

0.0771       0.001246            0.000532        -0.001127          349.0 

0.0761       0.001239            0.000533        -0.001119          350.0 

0.0751       0.001232            0.000534        -0.001110          351.0 

0.0741       0.001224            0.000535        -0.001102          352.0 

0.0731       0.001217            0.000535        -0.001093          353.0 

0.0721       0.001210            0.000536        -0.001084          354.0 

0.0711       0.001202            0.000537        -0.001076          355.0 

0.0701       0.001194            0.000537        -0.001067          356.0 

0.0691       0.001187            0.000538        -0.001058          357.0 

0.0681       0.001179            0.000539        -0.001049          358.0 

0.0671       0.001171            0.000539        -0.001040          359.0 

0.0661       0.001163            0.000540        -0.001031          360.0 

0.0651       0.001156            0.000540        -0.001021          361.0 

0.0641       0.001148            0.000541        -0.001012          362.0 

0.0631       0.001140            0.000542        -0.001003          363.0 

0.0621       0.001132            0.000542        -0.000993          364.0 

0.0611       0.001124            0.000543        -0.000984          365.0 

0.0601       0.001116            0.000543        -0.000974          366.0 

0.0591       0.001107            0.000544        -0.000965          367.0 

0.0581       0.001099            0.000545        -0.000955          368.0 

0.0571       0.001091            0.000545        -0.000945          369.0 

0.0561       0.001083            0.000546        -0.000935          370.0 

0.0551       0.001074            0.000546        -0.000925          371.0 

0.0541       0.001066            0.000547        -0.000915          372.0 

0.0531       0.001058            0.000547        -0.000905          373.0 

0.0521       0.001049            0.000548        -0.000895          374.0 

0.0511       0.001041            0.000548        -0.000884          375.0 

0.0501       0.001032            0.000549        -0.000874          376.0 

0.0491       0.001023            0.000549        -0.000864          377.0 

0.0481       0.001015            0.000550        -0.000853          378.0 

0.0471       0.001006            0.000550        -0.000842          379.0 

0.0461       0.000997            0.000551        -0.000832          380.0 

0.0451       0.000989            0.000551        -0.000821          381.0 

0.0441       0.000980            0.000551        -0.000810          382.0 

0.0431       0.000971            0.000552        -0.000799          383.0 

0.0420       0.000962            0.000552        -0.000788          384.0 

0.0410       0.000953            0.000553        -0.000777          385.0 

0.0400       0.000944            0.000553        -0.000765          386.0 

0.0390       0.000935            0.000553        -0.000754          387.0 

0.0380       0.000926            0.000554        -0.000742          388.0 

0.0370       0.000917            0.000554        -0.000731          389.0 

0.0360       0.000908            0.000555        -0.000719          390.0 

0.0350       0.000899            0.000555        -0.000707          391.0 

0.0340       0.000890            0.000555        -0.000695          392.0 

0.0330       0.000880            0.000556        -0.000683          393.0 

0.0320       0.000871            0.000556        -0.000671          394.0 

0.0310       0.000862            0.000556        -0.000659          395.0 

0.0300       0.000853            0.000556        -0.000646          396.0 

0.0290       0.000843            0.000557        -0.000633          397.0 

0.0280       0.000834            0.000557        -0.000621          398.0 

0.0270       0.000825            0.000557        -0.000608          399.0 

0.0260       0.000815            0.000558        -0.000595          400.0 

0.0250       0.000806            0.000558        -0.000582          401.0 

0.0240       0.000796            0.000558        -0.000568          402.0 

0.0230       0.000787            0.000558        -0.000555          403.0 

0.0220       0.000778            0.000558        -0.000541          404.0 

0.0210       0.000768            0.000559        -0.000527          405.0 

0.0200       0.000759            0.000559        -0.000513          406.0 

0.0190       0.000749            0.000559        -0.000499          407.0 

0.0180       0.000740            0.000559        -0.000484          408.0 

0.0170       0.000730            0.000559        -0.000469          409.0 

0.0160       0.000721            0.000560        -0.000454          410.0 

0.0150       0.000711            0.000560        -0.000439          411.0 

0.0140       0.000702            0.000560        -0.000423          412.0 

0.0130       0.000692            0.000560        -0.000407          413.0 

0.0120       0.000683            0.000560        -0.000390          414.0 

0.0110       0.000673            0.000560        -0.000373          415.0 

0.0100       0.000664            0.000560        -0.000356          416.0 

0.0090       0.000654            0.000560        -0.000338          417.0 

0.0080       0.000645            0.000561        -0.000319          418.0 

0.0070       0.000635            0.000561        -0.000299          419.0 

0.0060       0.000626            0.000561        -0.000278          420.0 

0.0050       0.000617            0.000561        -0.000256          421.0 

0.0040       0.000607            0.000561        -0.000232          422.0 

0.0030       0.000597            0.000561        -0.000206          423.0 

0.0020       0.000588            0.000561        -0.000175          424.0 

0.0010       0.000577            0.000561        -0.000136          425.0 

0.0000       0.000569            0.000561        -0.000094          426.0 

